,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,v_ma5,v_ma10,pct_change,range
9,600968.SH,20241008,4.84,4.84,4.5,4.68,4.4,0.27999999999999936,6.36,1030624.88,497083.546,4.1899999999999995,3.9899999999999998,725704.908,524430.721,0.06363636363636349,0.33999999999999986
10,600968.SH,20241009,4.61,4.61,4.34,4.37,4.68,-0.3099999999999996,-6.62,866350.55,399840.55,4.2780000000000005,4.051,806472.672,588563.139,-0.06623931623931612,0.27000000000000046
11,600968.SH,20241010,4.35,4.58,4.34,4.44,4.37,0.07000000000000028,1.6,638608.35,294049.641,4.38,4.12,782162.49,622897.101,0.016018306636155666,0.2400000000000002
12,600968.SH,20241011,4.46,4.51,4.34,4.4,4.44,-0.040000000000000036,-0.9,435218.63,199125.341,4.458,4.186999999999999,794394.004,632606.996,-0.009009009009009028,0.16999999999999993
13,600968.SH,20241014,4.41,4.48,4.37,4.43,4.4,0.02999999999999936,0.68,400598.6,183044.678,4.464,4.253,674280.202,643054.3439999999,0.006818181818181612,0.11000000000000032
14,600968.SH,20241015,4.41,4.42,4.24,4.25,4.43,-0.17999999999999972,-4.06,479208.88,213777.376,4.378,4.284,563997.002,644850.955,-0.040632054176072185,0.17999999999999972
15,600968.SH,20241016,4.2,4.3,4.17,4.26,4.25,0.009999999999999787,0.24,334827.66,146378.83,4.356,4.317,457692.424,632082.548,0.0023529411764704466,0.1299999999999999
16,600968.SH,20241017,4.27,4.31,4.15,4.16,4.26,-0.09999999999999964,-2.35,323307.66,140853.429,4.3,4.34,394632.28599999996,588397.388,-0.023474178403755763,0.15999999999999925
17,600968.SH,20241018,4.2,4.28,4.14,4.21,4.16,0.04999999999999982,1.2,472608.83,205792.666,4.262,4.36,402110.326,598252.165,0.012019230769230616,0.14000000000000057
18,600968.SH,20241021,4.24,4.27,4.14,4.21,4.21,0.0,0.0,435710.17,188928.526,4.218,4.341,409132.64,541706.421,0.0,0.1299999999999999
19,600968.SH,20241022,4.22,4.34,4.2,4.3,4.21,0.08999999999999986,2.14,447363.72,197749.577,4.228,4.303,402763.60799999995,483380.305,0.0213776722090262,0.13999999999999968
20,600968.SH,20241023,4.35,4.45,4.35,4.4,4.3,0.10000000000000053,2.33,499867.75,226911.169,4.256,4.305999999999999,435771.626,446732.025,0.023255813953488413,0.10000000000000053
21,600968.SH,20241024,4.41,4.41,4.33,4.38,4.4,-0.020000000000000462,-0.45,293341.34,132240.317,4.3,4.3,429778.362,412205.32399999996,-0.00454545454545463,0.08000000000000007
22,600968.SH,20241025,4.39,4.48,4.36,4.43,4.38,0.04999999999999982,1.14,412381.76,188136.537,4.343999999999999,4.303,417732.948,409921.637,0.011415525114155223,0.1200000000000001
23,600968.SH,20241028,4.41,4.43,4.31,4.39,4.43,-0.040000000000000036,-0.9,447292.75,201515.015,4.38,4.299,420049.464,414591.052,-0.009029345372460473,0.1200000000000001
24,600968.SH,20241029,4.43,4.48,4.36,4.41,4.39,0.020000000000000462,0.46,623614.54,283761.866,4.401999999999999,4.3149999999999995,455299.628,429031.61799999996,0.004555808656036442,0.1200000000000001
25,600968.SH,20241030,4.4,4.48,4.2,4.24,4.41,-0.16999999999999993,-3.85,781791.42,347168.61,4.37,4.313000000000001,511684.362,473727.99400000006,-0.038548752834467126,0.28000000000000025
26,600968.SH,20241031,4.23,4.26,4.15,4.23,4.24,-0.009999999999999787,-0.24,423688.18,184168.08,4.34,4.32,537753.7300000001,483766.046,-0.002358490566037652,0.10999999999999943
