,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,v_ma5,v_ma10,pct_change,range
9,600325.SH,20241008,7.9,7.9,6.66,7.01,7.18,-0.16999999999999993,-2.37,1855996.34,1371148.407,6.494,5.915,1320200.2459999998,890636.1259999999,-0.0236768802228412,1.2400000000000002
10,600325.SH,20241009,6.84,6.84,6.31,6.31,7.01,-0.7000000000000002,-9.99,1090959.43,719267.14,6.642,6.0329999999999995,1372714.334,957940.3570000001,-0.09985734664764623,0.5300000000000002
11,600325.SH,20241010,6.26,6.56,6.16,6.42,6.31,0.11000000000000032,1.74,838268.66,547792.429,6.702,6.144,1307142.4959999998,982126.652,0.017432646592709933,0.39999999999999947
12,600325.SH,20241011,6.42,6.7,6.28,6.54,6.42,0.1200000000000001,1.87,724746.7,483348.294,6.691999999999998,6.263,1254749.652,1017385.2220000001,0.01869158878504673,0.41999999999999993
13,600325.SH,20241014,6.77,6.88,6.54,6.74,6.54,0.20000000000000018,3.06,939117.13,648649.52,6.603999999999999,6.398,1089817.652,1080621.81,0.030581039755351647,0.33999999999999986
14,600325.SH,20241015,6.63,6.88,6.52,6.66,6.74,-0.08000000000000007,-1.19,634292.44,437966.593,6.534000000000001,6.514,845476.8720000001,1082838.559,-0.011869436201780381,0.3600000000000003
15,600325.SH,20241016,6.72,7.03,6.7,6.91,6.66,0.25,3.75,979519.48,690294.787,6.654000000000001,6.648000000000001,823188.882,1097951.608,0.037537537537537524,0.33000000000000007
16,600325.SH,20241017,6.9,6.9,6.49,6.5,6.91,-0.41000000000000014,-5.93,824162.32,561632.14,6.67,6.686,820367.614,1063755.0550000002,-0.05933429811866864,0.41000000000000014
17,600325.SH,20241018,6.5,6.7,6.25,6.58,6.5,0.08000000000000007,1.23,724649.67,478497.445,6.678,6.685,820348.208,1037548.9299999999,0.012307692307692353,0.4500000000000002
18,600325.SH,20241021,6.66,6.79,6.49,6.75,6.58,0.16999999999999993,2.58,635623.67,434756.496,6.68,6.642,759649.5160000001,924733.584,0.02583586626139822,0.2999999999999998
