,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,v_ma5,v_ma10,pct_change,range
9,600968.SH,20250814,4.15,4.22,4.09,4.1,4.15,-0.05000000000000071,-1.2,830689.28,344945.029,4.08,4.067,815771.8640000001,547390.129,-0.012048192771084487,0.1299999999999999
10,600968.SH,20250815,4.09,4.12,4.0,4.03,4.1,-0.0699999999999994,-1.71,972056.38,392632.954,4.066,4.067,951779.5599999999,618168.683,-0.01707317073170722,0.1200000000000001
11,600968.SH,20250818,4.05,4.06,3.9,3.92,4.03,-0.11000000000000032,-2.73,1471459.55,583665.63,4.044,4.055,1111440.674,738868.0380000001,-0.027295285359801524,0.1599999999999997
12,600968.SH,20250819,3.92,3.95,3.91,3.94,3.92,0.020000000000000018,0.51,440334.09,173101.488,4.0280000000000005,4.043,1094255.806,752113.9230000001,0.005102040816326481,0.040000000000000036
13,600968.SH,20250820,4.05,4.09,3.98,4.07,3.94,0.13000000000000034,3.3,1260572.64,510887.122,4.0120000000000005,4.043,995022.3879999999,852768.7550000001,0.032994923857868175,0.10999999999999988
14,600968.SH,20250821,4.07,4.07,4.03,4.04,4.07,-0.03000000000000025,-0.74,680481.0,275424.726,4.0,4.04,964980.7320000001,890376.2980000001,-0.0073710073710073765,0.040000000000000036
15,600968.SH,20250822,4.04,4.05,3.99,4.04,4.04,0.0,0.0,567591.0,227949.986,4.002,4.034000000000001,884087.6559999998,917933.608,0.0,0.05999999999999961
16,600968.SH,20250825,4.04,4.09,4.02,4.07,4.04,0.03000000000000025,0.74,719832.4,292605.971,4.032000000000001,4.038,733762.226,922601.45,0.007425742574257432,0.07000000000000028
17,600968.SH,20250826,4.07,4.17,4.05,4.13,4.07,0.05999999999999961,1.47,1376806.65,568835.524,4.07,4.049,921056.7379999999,1007656.2719999999,0.014742014742014753,0.1200000000000001
18,600968.SH,20250827,4.1,4.19,4.06,4.06,4.13,-0.07000000000000028,-1.69,876167.0,361646.17,4.068,4.04,844175.61,919598.9989999998,-0.016949152542372947,0.13000000000000078
19,600968.SH,20250828,4.07,4.1,3.99,4.09,4.06,0.03000000000000025,0.74,599289.0,242671.666,4.078,4.039,827937.21,896458.9710000001,0.007389162561576512,0.10999999999999943
20,600968.SH,20250829,4.08,4.11,3.98,3.99,4.09,-0.09999999999999964,-2.44,927539.17,374081.243,4.0680000000000005,4.034999999999999,899926.8439999999,892007.25,-0.024449877750611138,0.13000000000000034
21,600968.SH,20250901,4.0,4.18,3.99,4.07,3.99,0.08000000000000007,2.01,1210917.12,495439.249,4.0680000000000005,4.05,998143.788,865953.007,0.020050125313283207,0.1899999999999995
22,600968.SH,20250902,4.07,4.09,3.97,4.0,4.07,-0.07000000000000028,-1.72,967196.22,387770.089,4.042,4.056,916221.7019999999,918639.22,-0.017199017199017286,0.11999999999999966
23,600968.SH,20250903,4.01,4.02,3.95,3.96,4.0,-0.040000000000000036,-1.0,546106.0,216780.112,4.022,4.045,850209.502,847192.5560000001,-0.010000000000000009,0.0699999999999994
24,600968.SH,20250904,3.96,3.96,3.86,3.89,3.96,-0.06999999999999984,-1.77,764584.71,297694.076,3.982,4.029999999999999,883268.644,855602.9269999999,-0.017676767676767624,0.10000000000000009
25,600968.SH,20250905,3.89,3.91,3.86,3.9,3.89,0.009999999999999787,0.26,493217.54,191669.298,3.964,4.016,796404.318,848165.581,0.0025706940874035134,0.050000000000000266
26,600968.SH,20250908,3.9,3.93,3.88,3.91,3.9,0.010000000000000231,0.26,428252.17,167314.724,3.932,4.0,639871.328,819007.558,0.002564102564102555,0.050000000000000266
27,600968.SH,20250909,3.91,3.94,3.88,3.9,3.91,-0.010000000000000231,-0.26,340765.0,133193.524,3.912,3.9769999999999994,514585.084,715403.3929999999,-0.002557544757033292,0.06000000000000005
28,600968.SH,20250910,3.91,3.93,3.9,3.92,3.9,0.020000000000000018,0.51,309045.11,121065.514,3.904,3.963,467172.90599999996,658691.204,0.00512820512820511,0.03000000000000025
29,600968.SH,20250911,3.92,3.98,3.88,3.97,3.92,0.050000000000000266,1.28,620910.0,244274.138,3.9200000000000004,3.9509999999999996,438437.964,660853.304,0.012755102040816313,0.10000000000000009
30,600968.SH,20250912,3.96,3.97,3.9,3.93,3.97,-0.040000000000000036,-1.01,552320.68,217052.927,3.9259999999999997,3.9449999999999994,450258.592,623331.455,-0.010075566750629705,0.07000000000000028
31,600968.SH,20250915,3.92,3.95,3.91,3.93,3.93,0.0,0.0,333494.0,131016.959,3.9299999999999997,3.9309999999999996,431306.958,535589.1429999999,0.0,0.040000000000000036
32,600968.SH,20250916,3.93,3.93,3.88,3.9,3.93,-0.03000000000000025,-0.76,366986.97,143147.515,3.9299999999999997,3.9210000000000003,436551.35199999996,475568.218,-0.007633587786259555,0.050000000000000266
