,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,v_ma5,v_ma10,pct_change,range
9,002127.SZ,20241008,3.59,3.59,3.29,3.47,3.26,0.2100000000000004,6.44,1056485.23,366618.268,3.058,2.838,676156.65,463903.025,0.0644171779141105,0.2999999999999998
10,002127.SZ,20241009,3.35,3.35,3.12,3.12,3.47,-0.3500000000000001,-10.09,854249.4,277439.721,3.132,2.898,754968.23,528949.771,-0.10086455331412103,0.22999999999999998
11,002127.SZ,20241010,3.12,3.19,3.05,3.08,3.12,-0.040000000000000036,-1.28,586969.24,185287.317,3.18,2.9450000000000003,783795.152,558468.642,-0.012820512820512886,0.14000000000000012
12,002127.SZ,20241011,3.08,3.1,2.92,2.96,3.08,-0.1200000000000001,-3.9,561523.0,171035.478,3.178,2.98,794422.552,594586.539,-0.038961038961038974,0.18000000000000016
13,002127.SZ,20241014,2.97,3.02,2.9,3.01,2.96,0.04999999999999982,1.69,434028.59,130295.687,3.128,3.0170000000000003,698651.092,618463.9480000001,0.016891891891891886,0.1200000000000001
14,002127.SZ,20241015,3.01,3.14,2.97,3.02,3.01,0.010000000000000231,0.33,656313.57,203469.947,3.0380000000000003,3.048,618616.76,647386.705,0.0033222591362127574,0.16999999999999993
15,002127.SZ,20241016,2.98,3.06,2.96,3.02,3.02,0.0,0.0,409635.0,124768.417,3.018,3.075,529693.8800000001,642331.0549999999,0.0,0.10000000000000009
16,002127.SZ,20241017,3.04,3.07,2.97,2.98,3.02,-0.040000000000000036,-1.32,386532.62,117644.141,2.998,3.089,489606.556,636700.854,-0.013245033112582738,0.09999999999999964
17,002127.SZ,20241018,2.96,3.1,2.94,3.05,2.98,0.06999999999999984,2.35,560150.76,171455.706,3.016,3.0970000000000004,489332.108,641877.33,0.02348993288590595,0.16000000000000014
18,002127.SZ,20241021,3.06,3.09,3.02,3.07,3.05,0.020000000000000018,0.66,486995.33,150406.316,3.028,3.0780000000000003,499925.45600000006,599288.274,0.006557377049180246,0.06999999999999984
