,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,v_ma5,v_ma10,pct_change,range
9,002127.SZ,20200930,16.44,16.63,15.92,16.14,16.32,-0.17999999999999972,-1.1,314250.43,545608.337,16.586,16.892000000000003,229000.53199999998,216103.626,-0.011029411764705843,0.7099999999999991
10,002127.SZ,20201009,16.64,17.76,16.62,17.76,16.14,1.620000000000001,10.04,259121.57,485610.844,16.788,16.906,234828.77999999997,223858.16600000003,0.1003717472118959,1.1400000000000006
11,002127.SZ,20201012,17.77,19.4,17.76,19.26,17.76,1.5,8.45,722789.45,1468748.659,17.262,17.075,352809.638,279548.622,0.08445945945945943,1.639999999999997
12,002127.SZ,20201013,19.17,19.4,18.81,19.26,19.26,0.0,0.0,203104.69,416323.921,17.748,17.307000000000002,352920.366,273718.191,0.0,0.5899999999999999
13,002127.SZ,20201014,19.64,19.64,18.51,18.93,19.26,-0.33000000000000185,-1.71,341648.67,691282.141,18.270000000000003,17.540000000000003,368182.962,287430.58099999995,-0.017133956386292892,1.129999999999999
14,002127.SZ,20201015,18.94,19.1,18.38,18.39,18.93,-0.5399999999999991,-2.85,227318.64,452173.807,18.720000000000002,17.653,350796.604,289898.56799999997,-0.02852614896988903,0.7200000000000024
15,002127.SZ,20201016,18.67,18.7,17.79,18.06,18.39,-0.33000000000000185,-1.79,265712.55,516241.049,18.78,17.784,352114.8,293471.79,-0.01794453507340954,0.9100000000000001
16,002127.SZ,20201019,18.31,18.65,17.86,18.1,18.06,0.0400000000000027,0.22,221045.61,431230.368,18.548,17.905,251766.03199999998,302287.835,0.0022148394241419123,0.7899999999999991
17,002127.SZ,20201020,18.11,19.15,17.82,19.03,18.1,0.9299999999999997,5.14,357727.17,712932.783,18.502,18.125,282690.52800000005,317805.447,0.05138121546961316,1.3299999999999983
18,002127.SZ,20201021,18.79,19.28,18.38,18.82,19.03,-0.21000000000000085,-1.1,233922.08,469422.91,18.48,18.375,261145.21000000002,314664.086,-0.011035207566999494,0.9000000000000021
19,002127.SZ,20201022,18.79,19.03,18.36,18.89,18.82,0.07000000000000028,0.37,242584.82,486186.761,18.580000000000002,18.65,264198.446,307497.525,0.0037194473963868546,0.6700000000000017
20,002127.SZ,20201023,18.87,19.43,17.91,18.06,18.89,-0.8300000000000018,-4.39,459705.78,901370.382,18.580000000000002,18.68,302997.092,327555.946,-0.043938591847538455,1.5199999999999996
21,002127.SZ,20201026,18.19,18.36,17.29,18.35,18.06,0.2900000000000027,1.61,243745.9,468874.908,18.630000000000003,18.589000000000002,307537.15,279651.591,0.01605758582502781,1.0700000000000003
