,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,v_ma5,v_ma10,pct_change,range
9,600172.SH,20241008,2.78,2.78,2.56,2.73,2.53,0.20000000000000018,7.91,866684.5,233802.806,2.38,2.216,531398.678,354257.703,0.07905138339920947,0.21999999999999975
10,600172.SH,20241009,2.71,2.71,2.46,2.48,2.73,-0.25,-9.16,645638.52,165666.365,2.45,2.262,592321.818,403725.353,-0.09157509157509158,0.25
11,600172.SH,20241010,2.49,2.59,2.41,2.49,2.48,0.010000000000000231,0.4,410062.48,102461.506,2.506,2.305,612130.9539999999,420071.11799999996,0.0040322580645162365,0.17999999999999972
12,600172.SH,20241011,2.49,2.52,2.35,2.39,2.49,-0.10000000000000009,-4.02,323673.0,79015.89,2.524,2.341,615991.1140000001,441809.718,-0.04016064257028118,0.16999999999999993
13,600172.SH,20241014,2.41,2.44,2.36,2.42,2.39,0.029999999999999805,1.26,235697.96,56582.187,2.502,2.379,496351.292,454608.234,0.012552301255229992,0.08000000000000007
14,600172.SH,20241015,2.42,2.43,2.36,2.36,2.42,-0.06000000000000005,-2.48,223648.73,53548.089,2.428,2.4040000000000004,367744.138,449571.408,-0.024793388429752095,0.07000000000000028
15,600172.SH,20241016,2.34,2.38,2.32,2.37,2.36,0.010000000000000231,0.42,193802.36,45565.909,2.406,2.428,277376.906,434849.362,0.004237288135593209,0.06000000000000005
16,600172.SH,20241017,2.36,2.41,2.34,2.34,2.37,-0.03000000000000025,-1.27,214159.58,50862.854,2.3760000000000003,2.441,238196.32599999997,425163.64,-0.012658227848101333,0.07000000000000028
17,600172.SH,20241018,2.33,2.43,2.32,2.39,2.34,0.050000000000000266,2.14,326815.77,77193.526,2.376,2.45,238824.87999999998,427407.997,0.021367521367521514,0.11000000000000032
18,600172.SH,20241021,2.39,2.51,2.38,2.46,2.39,0.06999999999999984,2.93,365722.62,90015.104,2.384,2.443,264829.81200000003,380590.552,0.029288702928870203,0.1299999999999999
19,600172.SH,20241022,2.47,2.52,2.44,2.5,2.46,0.040000000000000036,1.63,261758.88,64909.423,2.412,2.42,272451.842,320097.99000000005,0.016260162601626105,0.08000000000000007
20,600172.SH,20241023,2.51,2.6,2.47,2.58,2.5,0.08000000000000007,3.2,373580.86,95694.229,2.4539999999999997,2.4299999999999997,308407.542,292892.22400000005,0.03200000000000003,0.1299999999999999
21,600172.SH,20241024,2.6,2.77,2.52,2.69,2.58,0.10999999999999988,4.26,715482.67,188740.182,2.524,2.45,408672.16000000003,323434.243,0.042635658914728536,0.25
22,600172.SH,20241025,2.84,2.96,2.84,2.96,2.69,0.27,10.04,871403.4,255497.72,2.6380000000000003,2.507,517589.68600000005,378207.283,0.1003717472118959,0.1200000000000001
23,600172.SH,20241028,3.26,3.26,3.15,3.26,2.96,0.2999999999999998,10.14,1006455.16,325887.024,2.798,2.5909999999999997,645736.194,455283.003,0.10135135135135132,0.10999999999999988
24,600172.SH,20241029,3.59,3.59,3.4,3.49,3.26,0.23000000000000043,7.06,2755400.31,975181.842,2.996,2.7039999999999997,1144464.48,708458.161,0.07055214723926384,0.18999999999999995
25,600172.SH,20241030,3.49,3.84,3.3,3.84,3.49,0.34999999999999964,10.03,1913432.5,702266.996,3.2479999999999998,2.851,1452434.808,880421.175,0.1002865329512892,0.54
26,600172.SH,20241031,4.18,4.22,3.88,4.22,3.84,0.3799999999999999,9.9,1836086.34,766663.637,3.554,3.039,1676555.542,1042613.851,0.09895833333333326,0.33999999999999986
27,600172.SH,20241101,4.24,4.25,3.8,3.8,4.22,-0.41999999999999993,-9.95,1874487.82,739327.895,3.722,3.18,1877172.4260000002,1197381.056,-0.09952606635071093,0.4500000000000002
28,600172.SH,20241104,3.42,3.51,3.42,3.42,3.8,-0.3799999999999999,-10.0,1216485.36,417234.547,3.754,3.276,1919178.466,1282457.33,-0.09999999999999998,0.08999999999999986
29,600172.SH,20241105,3.37,3.5,3.36,3.42,3.42,0.0,0.0,1351063.5,462628.793,3.7399999999999998,3.368,1638311.104,1391387.7920000001,0.0,0.14000000000000012
30,600172.SH,20241106,3.42,3.46,3.28,3.39,3.42,-0.029999999999999805,-0.88,1117912.31,379744.998,3.65,3.4490000000000003,1479207.066,1465820.937,-0.00877192982456132,0.18000000000000016
31,600172.SH,20241107,3.39,3.63,3.34,3.52,3.39,0.1299999999999999,3.83,1158276.84,408116.175,3.5100000000000002,3.532,1343645.166,1510100.3539999998,0.03834808259587019,0.29000000000000004
32,600172.SH,20241108,3.55,3.6,3.45,3.46,3.52,-0.06000000000000005,-1.7,914626.78,320991.789,3.442,3.582,1151672.958,1514422.692,-0.017045454545454586,0.1499999999999999
33,600172.SH,20241111,3.46,3.75,3.43,3.63,3.46,0.16999999999999993,4.91,1109901.7,399887.059,3.4840000000000004,3.6189999999999998,1130356.226,1524767.3460000001,0.049132947976878505,0.31999999999999984
34,600172.SH,20241112,3.65,3.77,3.53,3.59,3.63,-0.040000000000000036,-1.1,761548.37,277078.452,3.518,3.629,1012453.2,1325382.1520000002,-0.011019283746556474,0.2400000000000002
35,600172.SH,20241113,3.56,3.59,3.43,3.52,3.59,-0.06999999999999984,-1.95,528042.44,184700.938,3.5439999999999996,3.597,894479.226,1186843.1460000002,-0.01949860724233976,0.1599999999999997
36,600172.SH,20241114,3.48,3.5,3.35,3.36,3.52,-0.16000000000000014,-4.55,432131.6,147701.86,3.5120000000000005,3.511,749250.178,1046447.672,-0.045454545454545525,0.1499999999999999
